N	ticker	date	amount	tax_paid	rate	currency_code	amount_rub	tax_paid_rub	amount_decimal	tax_paid_decimal	key_stroke
43	SCHD (Stock)	2022-09-26	31.84$	3.18$	58.1006₽	840	1849.92₽	184.76₽	31.84	3.18	Interactive {SPACE} Brokers {SPACE} LLC {SPACE} +9(SCHD)+0 {TAB} {TAB} {TAB} {ENTER} {DOWN} {DOWN} {DOWN} 840 {TAB} {ENTER} {TAB} {TAB} {ENTER} {DOWN} {DOWN} {DOWN} 840 {TAB} {ENTER} {TAB} {TAB} {ENTER} {TAB} 26092022 {TAB} 26092022 {TAB} {LEFT} 840 {TAB} {TAB} {SPACE} {TAB} {ENTER} 1010 {TAB} {ENTER} {TAB} 31.84 {TAB} 3.18 {TAB} {DOWN}
44	PBR (Stock)	2022-09-27	259.88$	0.00$	57.9990₽	840	15072.78₽	0.00₽	259.88	0.00	Interactive {SPACE} Brokers {SPACE} LLC {SPACE} +9(PBR)+0 {TAB} {TAB} {TAB} {ENTER} {DOWN} {DOWN} {DOWN} 840 {TAB} {ENTER} {TAB} {TAB} {ENTER} {DOWN} {DOWN} {DOWN} 840 {TAB} {ENTER} {TAB} {TAB} {ENTER} {TAB} 27092022 {TAB} 27092022 {TAB} {LEFT} 840 {TAB} {TAB} {SPACE} {TAB} {ENTER} 1010 {TAB} {ENTER} {TAB} 259.88 {TAB} 0.00 {TAB} {DOWN}
45	VNQ (Stock)	2022-09-28	9.16$	0.61$	58.1756₽	840	532.89₽	35.49₽	9.16	0.61	Interactive {SPACE} Brokers {SPACE} LLC {SPACE} +9(VNQ)+0 {TAB} {TAB} {TAB} {ENTER} {DOWN} {DOWN} {DOWN} 840 {TAB} {ENTER} {TAB} {TAB} {ENTER} {DOWN} {DOWN} {DOWN} 840 {TAB} {ENTER} {TAB} {TAB} {ENTER} {TAB} 28092022 {TAB} 28092022 {TAB} {LEFT} 840 {TAB} {TAB} {SPACE} {TAB} {ENTER} 1010 {TAB} {ENTER} {TAB} 9.16 {TAB} 0.61 {TAB} {DOWN}
46	VTI (Stock)	2022-09-28	15.91$	1.59$	58.1756₽	840	925.57₽	92.50₽	15.91	1.59	Interactive {SPACE} Brokers {SPACE} LLC {SPACE} +9(VTI)+0 {TAB} {TAB} {TAB} {ENTER} {DOWN} {DOWN} {DOWN} 840 {TAB} {ENTER} {TAB} {TAB} {ENTER} {DOWN} {DOWN} {DOWN} 840 {TAB} {ENTER} {TAB} {TAB} {ENTER} {TAB} 28092022 {TAB} 28092022 {TAB} {LEFT} 840 {TAB} {TAB} {SPACE} {TAB} {ENTER} 1010 {TAB} {ENTER} {TAB} 15.91 {TAB} 1.59 {TAB} {DOWN}
47	IDV (Stock)	2022-09-30	54.88$	5.49$	57.4130₽	840	3150.83₽	315.20₽	54.88	5.49	Interactive {SPACE} Brokers {SPACE} LLC {SPACE} +9(IDV)+0 {TAB} {TAB} {TAB} {ENTER} {DOWN} {DOWN} {DOWN} 840 {TAB} {ENTER} {TAB} {TAB} {ENTER} {DOWN} {DOWN} {DOWN} 840 {TAB} {ENTER} {TAB} {TAB} {ENTER} {TAB} 30092022 {TAB} 30092022 {TAB} {LEFT} 840 {TAB} {TAB} {SPACE} {TAB} {ENTER} 1010 {TAB} {ENTER} {TAB} 54.88 {TAB} 5.49 {TAB} {DOWN}
48	SRU.UN (Stock)	2022-10-17	3.08CAD	0.46CAD	45.6728₽	124	140.67₽	21.01₽	3.08	0.46	Interactive {SPACE} Brokers {SPACE} LLC {SPACE} +9(SRU.UN)+0 {TAB} {TAB} {TAB} {ENTER} {DOWN} {DOWN} {DOWN} 124 {TAB} {ENTER} {TAB} {TAB} {ENTER} {DOWN} {DOWN} {DOWN} 124 {TAB} {ENTER} {TAB} {TAB} {ENTER} {TAB} 17102022 {TAB} 17102022 {TAB} {LEFT} 124 {TAB} {TAB} {SPACE} {TAB} {ENTER} 1010 {TAB} {ENTER} {TAB} 3.08 {TAB} 0.46 {TAB} {DOWN}
49	SRU.UN (Stock)	2022-11-15	3.08CAD	0.46CAD	45.1474₽	124	139.05₽	20.77₽	3.08	0.46	Interactive {SPACE} Brokers {SPACE} LLC {SPACE} +9(SRU.UN)+0 {TAB} {TAB} {TAB} {ENTER} {DOWN} {DOWN} {DOWN} 124 {TAB} {ENTER} {TAB} {TAB} {ENTER} {DOWN} {DOWN} {DOWN} 124 {TAB} {ENTER} {TAB} {TAB} {ENTER} {TAB} 15112022 {TAB} 15112022 {TAB} {LEFT} 124 {TAB} {TAB} {SPACE} {TAB} {ENTER} 1010 {TAB} {ENTER} {TAB} 3.08 {TAB} 0.46 {TAB} {DOWN}
50	BFCC (Stock)	2022-12-09	21.25$	2.13$	62.5722₽	840	1329.66₽	133.28₽	21.25	2.13	Interactive {SPACE} Brokers {SPACE} LLC {SPACE} +9(BFCC)+0 {TAB} {TAB} {TAB} {ENTER} {DOWN} {DOWN} {DOWN} 840 {TAB} {ENTER} {TAB} {TAB} {ENTER} {DOWN} {DOWN} {DOWN} 840 {TAB} {ENTER} {TAB} {TAB} {ENTER} {TAB} 09122022 {TAB} 09122022 {TAB} {LEFT} 840 {TAB} {TAB} {SPACE} {TAB} {ENTER} 1010 {TAB} {ENTER} {TAB} 21.25 {TAB} 2.13 {TAB} {DOWN}
51	SCHD (Stock)	2022-12-12	35.17$	3.52$	62.3813₽	840	2193.95₽	219.58₽	35.17	3.52	Interactive {SPACE} Brokers {SPACE} LLC {SPACE} +9(SCHD)+0 {TAB} {TAB} {TAB} {ENTER} {DOWN} {DOWN} {DOWN} 840 {TAB} {ENTER} {TAB} {TAB} {ENTER} {DOWN} {DOWN} {DOWN} 840 {TAB} {ENTER} {TAB} {TAB} {ENTER} {TAB} 12122022 {TAB} 12122022 {TAB} {LEFT} 840 {TAB} {TAB} {SPACE} {TAB} {ENTER} 1010 {TAB} {ENTER} {TAB} 35.17 {TAB} 3.52 {TAB} {DOWN}
52	SRU.UN (Stock)	2022-12-15	3.08CAD	0.46CAD	46.7698₽	124	144.05₽	21.51₽	3.08	0.46	Interactive {SPACE} Brokers {SPACE} LLC {SPACE} +9(SRU.UN)+0 {TAB} {TAB} {TAB} {ENTER} {DOWN} {DOWN} {DOWN} 124 {TAB} {ENTER} {TAB} {TAB} {ENTER} {DOWN} {DOWN} {DOWN} 124 {TAB} {ENTER} {TAB} {TAB} {ENTER} {TAB} 15122022 {TAB} 15122022 {TAB} {LEFT} 124 {TAB} {TAB} {SPACE} {TAB} {ENTER} 1010 {TAB} {ENTER} {TAB} 3.08 {TAB} 0.46 {TAB} {DOWN}
53	IDV (Stock)	2022-12-19	33.11$	3.31$	64.6078₽	840	2139.16₽	213.85₽	33.11	3.31	Interactive {SPACE} Brokers {SPACE} LLC {SPACE} +9(IDV)+0 {TAB} {TAB} {TAB} {ENTER} {DOWN} {DOWN} {DOWN} 840 {TAB} {ENTER} {TAB} {TAB} {ENTER} {DOWN} {DOWN} {DOWN} 840 {TAB} {ENTER} {TAB} {TAB} {ENTER} {TAB} 19122022 {TAB} 19122022 {TAB} {LEFT} 840 {TAB} {TAB} {SPACE} {TAB} {ENTER} 1010 {TAB} {ENTER} {TAB} 33.11 {TAB} 3.31 {TAB} {DOWN}
54	SCHO (Stock)	2022-12-22	11.65$	0.00$	70.5256₽	840	821.62₽	0.00₽	11.65	0.00	Interactive {SPACE} Brokers {SPACE} LLC {SPACE} +9(SCHO)+0 {TAB} {TAB} {TAB} {ENTER} {DOWN} {DOWN} {DOWN} 840 {TAB} {ENTER} {TAB} {TAB} {ENTER} {DOWN} {DOWN} {DOWN} 840 {TAB} {ENTER} {TAB} {TAB} {ENTER} {TAB} 22122022 {TAB} 22122022 {TAB} {LEFT} 840 {TAB} {TAB} {SPACE} {TAB} {ENTER} 1010 {TAB} {ENTER} {TAB} 11.65 {TAB} 0.00 {TAB} {DOWN}
55	XLP (Stock)	2022-12-22	15.99$	1.60$	70.5256₽	840	1127.70₽	112.84₽	15.99	1.60	Interactive {SPACE} Brokers {SPACE} LLC {SPACE} +9(XLP)+0 {TAB} {TAB} {TAB} {ENTER} {DOWN} {DOWN} {DOWN} 840 {TAB} {ENTER} {TAB} {TAB} {ENTER} {DOWN} {DOWN} {DOWN} 840 {TAB} {ENTER} {TAB} {TAB} {ENTER} {TAB} 22122022 {TAB} 22122022 {TAB} {LEFT} 840 {TAB} {TAB} {SPACE} {TAB} {ENTER} 1010 {TAB} {ENTER} {TAB} 15.99 {TAB} 1.60 {TAB} {DOWN}
56	XLU (Stock)	2022-12-22	40.06$	4.01$	70.5256₽	840	2825.26₽	282.81₽	40.06	4.01	Interactive {SPACE} Brokers {SPACE} LLC {SPACE} +9(XLU)+0 {TAB} {TAB} {TAB} {ENTER} {DOWN} {DOWN} {DOWN} 840 {TAB} {ENTER} {TAB} {TAB} {ENTER} {DOWN} {DOWN} {DOWN} 840 {TAB} {ENTER} {TAB} {TAB} {ENTER} {TAB} 22122022 {TAB} 22122022 {TAB} {LEFT} 840 {TAB} {TAB} {SPACE} {TAB} {ENTER} 1010 {TAB} {ENTER} {TAB} 40.06 {TAB} 4.01 {TAB} {DOWN}
57	PBR (Stock)	2022-12-28	88.01$	5.92$	69.9346₽	840	6154.94₽	414.01₽	88.01	5.92	Interactive {SPACE} Brokers {SPACE} LLC {SPACE} +9(PBR)+0 {TAB} {TAB} {TAB} {ENTER} {DOWN} {DOWN} {DOWN} 840 {TAB} {ENTER} {TAB} {TAB} {ENTER} {DOWN} {DOWN} {DOWN} 840 {TAB} {ENTER} {TAB} {TAB} {ENTER} {TAB} 28122022 {TAB} 28122022 {TAB} {LEFT} 840 {TAB} {TAB} {SPACE} {TAB} {ENTER} 1010 {TAB} {ENTER} {TAB} 88.01 {TAB} 5.92 {TAB} {DOWN}
58	PBR (Stock)	2022-12-28	39.49$	0.00$	69.9346₽	840	2761.72₽	0.00₽	39.49	0.00	Interactive {SPACE} Brokers {SPACE} LLC {SPACE} +9(PBR)+0 {TAB} {TAB} {TAB} {ENTER} {DOWN} {DOWN} {DOWN} 840 {TAB} {ENTER} {TAB} {TAB} {ENTER} {DOWN} {DOWN} {DOWN} 840 {TAB} {ENTER} {TAB} {TAB} {ENTER} {TAB} 28122022 {TAB} 28122022 {TAB} {LEFT} 840 {TAB} {TAB} {SPACE} {TAB} {ENTER} 1010 {TAB} {ENTER} {TAB} 39.49 {TAB} 0.00 {TAB} {DOWN}
59	VNQ (Stock)	2022-12-28	11.63$	0.78$	69.9346₽	840	813.34₽	54.55₽	11.63	0.78	Interactive {SPACE} Brokers {SPACE} LLC {SPACE} +9(VNQ)+0 {TAB} {TAB} {TAB} {ENTER} {DOWN} {DOWN} {DOWN} 840 {TAB} {ENTER} {TAB} {TAB} {ENTER} {DOWN} {DOWN} {DOWN} 840 {TAB} {ENTER} {TAB} {TAB} {ENTER} {TAB} 28122022 {TAB} 28122022 {TAB} {LEFT} 840 {TAB} {TAB} {SPACE} {TAB} {ENTER} 1010 {TAB} {ENTER} {TAB} 11.63 {TAB} 0.78 {TAB} {DOWN}
60	VTI (Stock)	2022-12-28	18.61$	1.86$	69.9346₽	840	1301.48₽	130.08₽	18.61	1.86	Interactive {SPACE} Brokers {SPACE} LLC {SPACE} +9(VTI)+0 {TAB} {TAB} {TAB} {ENTER} {DOWN} {DOWN} {DOWN} 840 {TAB} {ENTER} {TAB} {TAB} {ENTER} {DOWN} {DOWN} {DOWN} 840 {TAB} {ENTER} {TAB} {TAB} {ENTER} {TAB} 28122022 {TAB} 28122022 {TAB} {LEFT} 840 {TAB} {TAB} {SPACE} {TAB} {ENTER} 1010 {TAB} {ENTER} {TAB} 18.61 {TAB} 1.86 {TAB} {DOWN}
61	USFR (Stock)	2022-12-29	36.60$	0.00$	71.3261₽	840	2610.54₽	0.00₽	36.60	0.00	Interactive {SPACE} Brokers {SPACE} LLC {SPACE} +9(USFR)+0 {TAB} {TAB} {TAB} {ENTER} {DOWN} {DOWN} {DOWN} 840 {TAB} {ENTER} {TAB} {TAB} {ENTER} {DOWN} {DOWN} {DOWN} 840 {TAB} {ENTER} {TAB} {TAB} {ENTER} {TAB} 29122022 {TAB} 29122022 {TAB} {LEFT} 840 {TAB} {TAB} {SPACE} {TAB} {ENTER} 1010 {TAB} {ENTER} {TAB} 36.60 {TAB} 0.00 {TAB} {DOWN}
